timestamp,asset_id,vibration_rms_mm_s,bearing_temperature_c,rpm,load_percent
2026-08-22T09:00:00+05:30,T-07,2.82,74.5,3004,80.7
2026-08-22T09:00:15+05:30,T-07,2.77,76.6,3002,80.0
2026-08-22T09:00:30+05:30,T-07,2.72,74.4,3000,79.3
2026-08-22T09:00:45+05:30,T-07,2.67,76.6,2998,78.6
2026-08-22T09:01:00+05:30,T-07,2.62,74.4,3005,80.9
2026-08-22T09:01:15+05:30,T-07,2.57,76.5,3003,80.2
2026-08-22T09:01:30+05:30,T-07,2.44,74.3,3001,79.5
2026-08-22T09:01:45+05:30,T-07,2.39,76.5,2999,78.8
2026-08-22T09:02:00+05:30,T-07,2.34,73.6,2997,81.1
2026-08-22T09:02:15+05:30,T-07,2.88,75.8,3004,80.4
2026-08-22T09:02:30+05:30,T-07,2.83,73.6,3002,79.7
2026-08-22T09:02:45+05:30,T-07,2.78,75.8,3000,78.9
2026-08-22T09:03:00+05:30,T-07,2.73,73.5,2998,81.3
2026-08-22T09:03:15+05:30,T-07,2.59,75.7,3005,80.6
2026-08-22T09:03:30+05:30,T-07,2.54,73.5,3003,79.8
2026-08-22T09:03:45+05:30,T-07,2.49,75.7,3001,79.1
2026-08-22T09:04:00+05:30,T-07,2.44,73.4,2999,78.4
2026-08-22T09:04:15+05:30,T-07,2.39,75.0,2997,80.7
2026-08-22T09:04:30+05:30,T-07,2.34,72.8,3004,80.0
2026-08-22T09:04:45+05:30,T-07,2.88,74.9,3002,79.3
2026-08-22T09:05:00+05:30,T-07,2.75,72.7,3000,78.6
2026-08-22T09:05:15+05:30,T-07,2.70,74.9,2998,80.9
2026-08-22T09:05:30+05:30,T-07,2.65,72.7,3005,80.2
2026-08-22T09:05:45+05:30,T-07,2.60,74.8,3003,79.5
2026-08-22T09:06:00+05:30,T-07,2.55,77.0,3001,78.8
2026-08-22T09:06:15+05:30,T-07,2.50,74.8,2999,81.1
2026-08-22T09:06:30+05:30,T-07,2.45,76.3,2997,80.4
2026-08-22T09:06:45+05:30,T-07,2.31,74.1,3004,79.7
2026-08-22T09:07:00+05:30,T-07,2.85,76.3,3002,78.9
2026-08-22T09:07:15+05:30,T-07,2.80,74.0,3000,81.3
2026-08-22T09:07:30+05:30,T-07,2.75,76.2,2998,80.6
2026-08-22T09:07:45+05:30,T-07,2.70,74.0,3005,79.8
2026-08-22T09:08:00+05:30,T-07,2.65,76.2,3003,79.1
2026-08-22T09:08:15+05:30,T-07,2.60,73.9,3001,78.4
2026-08-22T09:08:30+05:30,T-07,2.47,76.1,2999,80.7
2026-08-22T09:08:45+05:30,T-07,2.42,73.3,2997,80.0
2026-08-22T09:09:00+05:30,T-07,2.37,75.4,3004,79.3
2026-08-22T09:09:15+05:30,T-07,2.32,73.2,3002,78.6
2026-08-22T09:09:30+05:30,T-07,2.86,75.4,3000,80.9
2026-08-22T09:09:45+05:30,T-07,2.81,73.2,2998,80.2
2026-08-22T09:10:00+05:30,T-07,2.76,75.3,3005,79.5
2026-08-22T09:10:15+05:30,T-07,2.62,73.1,3003,78.8
2026-08-22T09:10:30+05:30,T-07,2.57,75.3,3001,81.1
2026-08-22T09:10:45+05:30,T-07,2.52,73.1,2999,80.4
2026-08-22T09:11:00+05:30,T-07,2.47,74.6,2997,79.7
2026-08-22T09:11:15+05:30,T-07,2.42,72.4,3004,78.9
2026-08-22T09:11:30+05:30,T-07,2.38,74.5,3002,81.3
